unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge3/cpp/bridge3.cpp)	rust_home	calls
e037_getUnitRegionIndex	037/130	0	6	dcc/src/Conversion/SentientToProgIR/UniformInstrAndBlock.hpp:208	827-832	src/bridges/sentient_to_progir/uniform/block.rs	-
e038_verifyOnTheFlyConversions	038/130	0	56	dcc/src/Conversion/SentientToProgIR/Utils.cpp:27	835-890	src/bridges/sentient_to_progir/utils.rs	-
e039_getProperConsumer	039/130	0	14	dcc/src/Conversion/SentientToProgIR/Utils.cpp:86	893-906	src/bridges/sentient_to_progir/utils.rs	-
e040_updateProperConsumer	040/130	0	14	dcc/src/Conversion/SentientToProgIR/Utils.cpp:102	909-922	src/bridges/sentient_to_progir/utils.rs	-
e041_getAddrWraparounded	041/130	0	10	dcc/src/Conversion/SentientToProgIR/Utils.cpp:117	925-934	src/bridges/sentient_to_progir/utils.rs	-
e042_ConstructMVLoopInstr	042/130	1	63	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:48	942-1004	src/bridges/sentient_to_progir/construct/scalar.rs	setCommonField
e043_ConstructAssignInstr	043/130	1	204	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:113	1007-1210	src/bridges/sentient_to_progir/construct/scalar.rs	GetAddressScale,getAddrWraparounded,setCommonField
e044_ConstructBranchExitInstr	044/130	1	9	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:319	1213-1221	src/bridges/sentient_to_progir/construct/scalar.rs	setCommonField
e045_ConstructSyncInstr	045/130	1	96	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:348	1224-1319	src/bridges/sentient_to_progir/construct/scalar.rs	setCommonField
e046_ConstructJMPInstr	046/130	1	11	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:446	1322-1332	src/bridges/sentient_to_progir/construct/scalar.rs	setCommonField
e047_ConstructJCMPInstr	047/130	1	227	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:458	1335-1561	src/bridges/sentient_to_progir/construct/scalar.rs	setCommonField
e048_ConstructJADDInstr	048/130	1	33	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:687	1564-1596	src/bridges/sentient_to_progir/construct/scalar.rs	setCommonField
e049_ConstructXRFADDInstr	049/130	1	47	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:892	1599-1645	src/bridges/sentient_to_progir/construct/scalar.rs	getAddrWraparounded,setCommonField
e050_ConstructXRFADDInstr	050/130	1	22	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:940	1648-1669	src/bridges/sentient_to_progir/construct/scalar.rs	getAddrWraparounded,setCommonField
e051_ConstructJSUBInstr	051/130	1	34	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:964	1672-1705	src/bridges/sentient_to_progir/construct/scalar.rs	setCommonField
e052_setSentientComputeInputProgIROperands	052/130	1	125	dcc/src/Conversion/SentientToProgIR/ConstructProgIRHelper.cpp:1184	1708-1832	src/bridges/sentient_to_progir/construct/compute.rs	hasCommonField,setCommonField
