unit	entry	level	scc	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-senpass/cpp/sentient.cpp)	rust_home	calls
e510_insertOperandKind	510/656	3	273	3	dcc/src/Transform/Sentient/LoopRolling.cpp:183	20853-20856	crates/compiler/deeptools/src/transform/sentient/loop_rolling/mod.rs	e422_insert
e511_insertOperandDelta	511/656	3	274	3	dcc/src/Transform/Sentient/LoopRolling.cpp:186	20865-20868	crates/compiler/deeptools/src/transform/sentient/loop_rolling/mod.rs	e422_insert
e512_collectStartingValIterArgs	512/656	3	282	86	dcc/src/Transform/Sentient/LoopRolling.cpp:592	20877-20965	crates/compiler/deeptools/src/transform/sentient/loop_rolling/mod.rs	e252_size,e422_insert
e513_unrollLoop	513/656	3	290	86	dcc/src/Transform/Sentient/LoopSplittingAndUnrolling.cpp:207	20974-21061	crates/compiler/deeptools/src/transform/sentient/loop_splitting_and_unrolling/mod.rs	e086_isOkToUnroll,e252_size,e318_promoteForLoopBodyAndDelete,e423_lookup
e514_findOptimalNWaySplits	514/656	3	297	162	dcc/src/Transform/Sentient/LoopSplittingAndUnrolling.cpp:691	21070-21235	crates/compiler/deeptools/src/transform/sentient/loop_splitting_and_unrolling/mod.rs	e091_findAllSplitVals,e092_computeReducedCost,e252_size,e319_getAllTrueIndexOfIfOpsList,e422_insert
e515_getOrCreateTupleForIV	515/656	3	123	8	dcc/src/Transform/Sentient/MultiDimLoopPeeling.cpp:149	21244-21253	crates/compiler/deeptools/src/transform/sentient/multi_dim_loop_peeling/mod.rs	e242_getForLoopInfoIfIV,e422_insert
e516_processConditional	516/656	3	341	129	dcc/src/Transform/Sentient/MulticastCanonicalization.cpp:168	21262-21392	crates/compiler/deeptools/src/transform/sentient/multicast_canonicalization/mod.rs	e099_createNewProducerQMap,e252_size,e422_insert
e517_getSource	517/656	3	369	38	dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:1144	21401-21441	crates/compiler/deeptools/src/transform/sentient/old_register_initialization/register_init_candidate_promoter.rs	e252_size,e333_constructValues,e396_replaceValue,e422_insert
e518_replace	518/656	3	373	17	dcc/src/Transform/Sentient/OldRegisterInitialization.cpp:1184	21450-21468	crates/compiler/deeptools/src/transform/sentient/old_register_initialization/register_init_candidate_promoter.rs	e422_insert
e519_processOneBlock	519/656	3	332	239	dcc/src/Transform/Sentient/OpRerolling.cpp:199	21477-21716	crates/compiler/deeptools/src/transform/sentient/op_rerolling/mod.rs	e115_reset,e248_getFoldModeAttributeIfExists,e335_fill,e336_match,e338_setUnrollFieldsInStmt,e453_updateRefOpUnrollInfo
e520_processDataID	520/656	3	384	67	dcc/src/Transform/Sentient/PortAssignment.cpp:93	21725-21793	crates/compiler/deeptools/src/transform/sentient/port_assignment/mod.rs	e422_insert
e521_runOnOperation	521/656	3	410	16	dcc/src/Transform/Sentient/RegisterInitialization.cpp:261	21802-21818	crates/compiler/deeptools/src/transform/sentient/register_initialization/mod.rs	e458_runOn
e522_runOnProgramUnitOp	522/656	3	421	21	dcc/src/Transform/Sentient/RegisterPacking.cpp:388	21827-21848	crates/compiler/deeptools/src/transform/sentient/register_packing/mod.rs	e134_doRenumbering,e459_computeNewRegisterIndices,e460_runOnAllOps,e461_runOnForOp,e462_runOnCopyOp
e523_processWorkList	523/656	3	437	93	dcc/src/Transform/Sentient/RegisterTypeAssignment.cpp:492	21857-21950	crates/compiler/deeptools/src/transform/sentient/register_type_assignment/mod.rs	e139_getLocale,e143_updateAssignment,e351_addToWorkListAndUpdateAssignment,e463_addToWorkListCreateCopyAndUpdateAssignment
e524_initializeAssignmentForAnOperation	524/656	3	433	383	dcc/src/Transform/Sentient/RegisterTypeAssignment.cpp:594	21959-22343	crates/compiler/deeptools/src/transform/sentient/register_type_assignment/mod.rs	e139_getLocale,e143_updateAssignment,e247_memoryOpRequiresImmutAddrScalarCopy,e252_size,e278_isValid,e351_addToWorkListAndUpdateAssignment,e463_addToWorkListCreateCopyAndUpdateAssignment
e525_runOnOperation	525/656	3	445	11	dcc/src/Transform/Sentient/RematerializationPass.cpp:163	22352-22363	crates/compiler/deeptools/src/transform/sentient/rematerialization_pass/mod.rs	e464_runOn
e526_processIfOp	526/656	3	450	22	dcc/src/Transform/Sentient/RemoveRedundantConditionals.cpp:98	22372-22394	crates/compiler/deeptools/src/transform/sentient/remove_redundant_conditionals/redundant_conditional_manager.rs	e465_updateIfOpBasedOnParentIfOp,e466_updateIfOpFeedingDynLoopBound
e527_collectSymbolUsage	527/656	3	468	38	dcc/src/Transform/Sentient/ScalarCopyInsertionForSymbols.cpp:236	22403-22442	crates/compiler/deeptools/src/transform/sentient/scalar_copy_insertion_for_symbols/mod.rs	e153_getLocale,e422_insert
