unit	entry	level	loc	authority (under /Users/nickm/git/deeptools-src)	extract_lines (crustify-bridge2/source/bridge2.cpp)	rust_home	calls
e142_getDataflowForLoopInfoIfIV	142/384	0	31	dcc/src/Transform/Dataflow/Utils.cpp:99	1955-1988	src/bridges/dataflow_ir_to_sentient/tf_utils.rs	-
e143_constructExtentAndTotalElements	143/384	1	64	dcc/src/Conversion/AgenToSentient/AccessDetails.cpp:32	1994-2059	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e006_setLayoutCoeffs,e011_setExtents,e012_setTotalElements,e064_size
e144_constructLdOrStType	144/384	1	5	dcc/src/Conversion/AgenToSentient/AccessDetails.cpp:267	2061-2067	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	-
e145_initializeMemViewInfo	145/384	1	16	dcc/src/Conversion/AgenToSentient/AccessDetails.cpp:274	2069-2086	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e004_setMemViewStartAddr,e007_setMemViewLayoutMap
e146_constructIndices	146/384	1	50	dcc/src/Conversion/AgenToSentient/AccessDetails.cpp:354	2088-2139	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e003_setIndices,e017_setSubscriptsMap,e064_size
e147_constructIteratorCoefficients	147/384	1	10	dcc/src/Conversion/AgenToSentient/AccessDetails.cpp:406	2141-2152	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e018_setIndicesCoeffDict
e148_computeBurstAndGroup	148/384	1	36	dcc/src/Conversion/AgenToSentient/AccessDetails.cpp:796	2154-2191	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e024_setInterleaveGroupIndex,e026_has,e064_size
e149_insert	149/384	1	7	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:388	2193-2201	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e026_has,e064_size
e150_get	150/384	1	4	dcc/src/Conversion/AgenToSentient/AccessDetails.hpp:401	2203-2208	src/bridges/dataflow_ir_to_sentient/agen_access_details.rs	e026_has
e151_checkCompositeRegion	151/384	1	89	dcc/src/Conversion/AgenToSentient/Helper.cpp:206	2210-2300	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e064_size
e152_checkStoreOpFromExtractPattern	152/384	1	27	dcc/src/Conversion/AgenToSentient/Helper.cpp:433	2302-2330	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e064_size
e153_isLoadAndExtractScalarPattern	153/384	1	27	dcc/src/Conversion/AgenToSentient/Helper.cpp:463	2332-2360	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	-
e154_isReceiveAndExtractScalarPattern	154/384	1	17	dcc/src/Conversion/AgenToSentient/Helper.cpp:493	2362-2380	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	-
e155_updateSymbolicAccessDetails	155/384	1	35	dcc/src/Conversion/AgenToSentient/Helper.cpp:1013	2382-2418	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e003_setIndices,e004_setMemViewStartAddr,e025_setStrides
e156_getStoreProducer	156/384	1	159	dcc/src/Conversion/AgenToSentient/Helper.cpp:1285	2420-2580	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e064_size
e157_constructSetActiveMaskValueOp	157/384	1	161	dcc/src/Conversion/AgenToSentient/Helper.cpp:2567	2582-2744	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e064_size
e158_createUniformizeRegionsOp	158/384	1	57	dcc/src/Conversion/AgenToSentient/Helper.cpp:3880	2746-2804	src/bridges/dataflow_ir_to_sentient/agen_helper.rs	e064_size
e159_getUnitNameFromAListOfGetUnitOp	159/384	1	10	dcc/src/Conversion/DataflowToSentient/DataflowToSentient.cpp:119	2806-2817	src/bridges/dataflow_ir_to_sentient/dfs_dataflow_to_sentient.rs	e026_has,e064_size
e160_areCoreletsDifferent	160/384	1	6	dcc/src/Conversion/DataflowToSentient/DataflowToSentient.cpp:132	2819-2826	src/bridges/dataflow_ir_to_sentient/dfs_dataflow_to_sentient.rs	e064_size
e161_separateBasedOnDestinationUnits	161/384	1	18	dcc/src/Conversion/DataflowToSentient/DataflowToSentient.cpp:761	2828-2847	src/bridges/dataflow_ir_to_sentient/dfs_dataflow_to_sentient.rs	e064_size
e162_insertIfNotExists	162/384	1	8	dcc/src/Conversion/VectorChainLowering/CommonHelpers/OperandReuse.cpp:81	2849-2858	src/bridges/dataflow_ir_to_sentient/vc_operand_reuse.rs	e064_size
